Symbol,Stock,%▼,"Ownership
count",Hold Price*,Max %,"Current
Price","52 Week
Low","% Above
52 Week
Low","52 Week
High"
AMZN,Amazon.com Inc.,2.917,34,$238.34,32.21,$260.84,$196.00,33.08,$287.20
GOOG,Alphabet Inc. CL C,2.583,34,$353.33,23.39,$337.56,$196.90,71.44,$404.23
BRK.B,Berkshire Hathaway CL B,2.416,26,$500.39,33.89,$499.08,$464.01,7.56,$537.74
GOOGL,Alphabet Inc.,2.084,36,$357.37,24.55,$340.09,$196.04,73.48,$408.37
MSFT,Microsoft Corp.,1.780,37,$373.02,20.54,$480.95,$349.20,37.73,$550.24
BRK.A,Berkshire Hathaway CL A,1.758,17,$748851.77,42.42,$748375.75,$698000.00,7.22,$806102.81
V,Visa Inc.,1.713,30,$343.09,19.83,$366.76,$292.74,25.29,$373.28
META,Meta Platforms Inc.,1.580,31,$563.30,20.45,$540.60,$519.78,4.01,$788.22
CVNA,Carvana Co.,1.483,7,$65.82,78.85,$70.33,$54.46,29.14,$97.38
MA,Mastercard Inc.,1.419,22,$513.60,20.01,$576.95,$463.74,24.41,$598.04
AAPL,Apple Inc.,1.224,22,$289.36,41.05,$315.40,$222.96,41.46,$344.27
TSM,Taiwan Semiconductor S.A.,0.986,24,$477.55,10.55,$415.08,$221.29,87.57,$479.00
GE,GE Aerospace,0.968,10,$373.73,35.61,$345.23,$262.48,31.53,$388.84
MCO,Moody's Corp.,0.948,17,$452.92,19.14,$498.23,$399.61,24.68,$543.25
JOE,St. Joe Co.,0.932,1,,76.43,$69.20,$46.02,50.37,$73.19
TDG,TransDigm Group Inc.,0.751,6,$1332.04,27.51,$1191.44,$1123.61,6.04,$1463.03
BN,Brookfield Corp.,0.736,9,$42.59,16.29,$41.81,$37.87,10.40,$49.40
SPGI,S&P Global Inc.,0.730,15,$407.26,19.92,$427.38,$360.90,18.42,$527.28
ASML,ASML Holding NV,0.722,9,$1989.38,21.11,$1743.71,$711.50,145.08,$1997.36
NVDA,NVIDIA Corp.,0.720,18,$200.09,9.34,$216.83,$163.85,32.33,$236.26
IBKR,Interactive Brokers Group Inc.,0.706,6,$87.04,33.42,$90.90,$58.76,54.70,$97.84
IEP,Icahn Enterprises,0.658,1,,53.95,$6.66,$5.82,14.43,$7.44
FICO,Fair Isaac Corp.,0.581,8,$1194.78,25.77,$1147.11,$870.01,31.85,$1998.01
HCC,Warrior Met Coal Inc.,0.580,3,$81.16,43.32,$103.13,$54.46,89.37,$110.29
LOAR,Loar Holdings Inc,0.575,1,,47.15,$74.46,$53.15,40.09,$83.43
MOH,Molina Healthcare Inc.,0.567,3,$193.75,43.49,$198.61,$121.06,64.06,$244.89
GPI,Group 1 Automotive,0.566,2,$291.17,46.41,$264.73,$249.54,6.09,$486.11
PDD,Pinduoduo Inc.,0.545,4,$76.28,22.17,$89.22,$71.94,24.02,$139.41
UBER,Uber Technologies Inc.,0.521,11,$72.16,12.72,$78.76,$65.41,20.41,$101.99
AMAT,Applied Materials,0.516,12,$723.00,19.48,$489.00,$153.78,217.99,$739.67
C,Citigroup Inc.,0.484,8,$139.96,18.50,$131.32,$88.80,47.88,$147.21
COF,Capital One Financial,0.470,16,$200.62,7.13,$215.85,$173.62,24.32,$256.63
AXP,American Express,0.464,16,$338.24,17.14,$334.28,$289.26,15.56,$384.36
SUNB,Sunbelt Rentals Holdings Inc,0.464,12,$75.05,10.59,$77.86,$60.40,28.91,$85.78
ELV,Elevance Health Inc.,0.458,12,$386.73,9.11,$397.73,$272.05,46.20,$436.24
SNX,SYNNEX Corp.,0.456,4,$267.34,26.38,$250.44,$141.15,77.43,$295.89
CROX,Crocs Inc.,0.443,6,$120.64,27.20,$123.03,$73.21,68.05,$141.28
DIS,Walt Disney Co.,0.433,20,$96.25,9.55,$107.35,$91.48,17.35,$118.07
LULU,Lululemon Athletica Inc.,0.403,4,$176.58,32.35,$115.28,$104.44,10.38,$225.98
CVS,CVS Health Corp.,0.396,10,$103.45,10.63,$94.09,$67.46,39.48,$110.00
EQH,Equitable Holdings Inc.,0.395,5,$43.88,30.38,$49.20,$34.72,41.71,$53.71
SLM,SLM Corp.,0.387,3,$27.27,24.16,$26.12,$17.55,48.83,$31.48
JHG-OLD,Janus Henderson Group,0.385,1,,31.53,$51.98,$37.96,36.93,$53.76
RIG,Transocean Ltd.,0.373,2,$4.89,30.53,$5.96,$2.76,115.94,$7.66
AVGO,Broadcom Inc.,0.368,13,$377.75,10.61,$365.30,$279.82,30.55,$494.22
ICLR,ICON plc,0.358,6,$173.71,11.94,$176.03,$66.57,164.43,$203.91
FERG,Ferguson Enterprises Inc.,0.339,11,$237.33,6.88,$240.35,$204.50,17.53,$269.59
SCHW,Charles Schwab Corp.,0.338,11,$92.27,6.56,$110.77,$83.72,32.31,$112.20
ADI,Analog Devices,0.319,11,$397.17,7.97,$372.20,$221.38,68.13,$445.91
AMR,Alpha Metallurgical Resources Inc.,0.318,1,,26.11,$189.82,$133.64,42.04,$253.82
MKL,Markel Group Inc.,0.309,5,$1953.01,10.89,$1797.10,$1719.41,4.52,$2207.59
UNH,United Health Group Inc.,0.302,17,$415.63,6.05,$385.68,$254.51,51.54,$461.62
TMO,Thermo Fisher Scientific,0.301,11,$501.36,9.81,$628.02,$434.83,44.43,$642.71
KHC,Kraft Heinz Co.,0.299,9,$23.61,12.80,$25.45,$20.66,23.18,$28.09
PYPL,PayPal Holdings Inc.,0.294,8,$43.18,10.61,$62.14,$38.22,62.59,$78.53
RKT,Rocket Companies Inc.,0.290,5,$15.75,11.65,$13.96,$12.17,14.71,$24.36
CVI,CVR Energy Inc.,0.289,1,,23.73,$36.28,$19.50,86.05,$41.41
VFC,V.F. Corp.,0.287,2,$16.68,23.36,$13.93,$12.33,12.98,$22.15
BABA,Alibaba Group Holdings,0.281,9,$95.98,16.92,$129.17,$91.99,40.42,$190.92
CAT,Caterpillar Inc.,0.275,6,$1064.90,19.65,$803.39,$406.85,97.47,$1071.47
CNH,CNH Industrial NV,0.271,5,$11.23,17.11,$10.79,$8.91,21.10,$13.18
WM,Waste Management Inc.,0.267,3,$222.88,17.30,$224.76,$191.77,17.20,$247.15
ORLA-OLD,Orla Mining Ltd,0.264,3,$9.73,21.55,$9.45,$8.43,12.10,$21.95
CP,Canadian Pacific Kansas City,0.261,7,$86.65,7.44,$95.29,$67.98,40.17,$95.86
LYV,Live Nation Inc.,0.257,8,$183.11,7.69,$182.89,$125.34,45.92,$189.25
APP,Applovin Corp.,0.257,4,$515.25,14.50,$308.99,$303.17,1.92,$745.61
