Symbol,Stock,%▼,"Ownership
count",Hold Price*,Max %,"Current
Price","52 Week
Low","% Above
52 Week
Low","52 Week
High"
AMZN,Amazon.com Inc.,2.917,34,$238.34,32.21,$266.43,$196.00,35.93,$287.20
GOOG,Alphabet Inc. CL C,2.582,34,$353.33,23.39,$342.88,$206.37,66.15,$404.23
BRK.B,Berkshire Hathaway CL B,2.416,26,$500.39,33.89,$505.00,$464.01,8.83,$537.74
GOOGL,Alphabet Inc.,2.084,36,$357.37,24.55,$346.59,$205.61,68.57,$408.37
MSFT,Microsoft Corp.,1.779,37,$373.02,20.54,$513.53,$348.54,47.34,$549.20
BRK.A,Berkshire Hathaway CL A,1.758,17,$748851.77,42.42,$757985.01,$698000.00,8.59,$806102.81
V,Visa Inc.,1.713,30,$343.09,19.83,$381.60,$292.74,30.35,$385.57
META,Meta Platforms Inc.,1.580,31,$563.30,20.45,$578.02,$519.78,11.20,$788.22
CVNA,Carvana Co.,1.483,7,$65.82,78.85,$74.04,$54.46,35.95,$97.38
MA,Mastercard Inc.,1.419,22,$513.60,20.01,$595.30,$463.74,28.37,$601.23
AAPL,Apple Inc.,1.224,22,$289.36,41.05,$319.70,$225.12,42.01,$344.27
TSM,Taiwan Semiconductor S.A.,0.986,24,$477.55,10.55,$417.52,$223.20,87.06,$479.00
GE,GE Aerospace,0.968,10,$373.73,35.61,$342.58,$266.66,28.47,$388.84
MCO,Moody's Corp.,0.948,17,$452.92,19.14,$514.95,$399.61,28.86,$543.25
JOE,St. Joe Co.,0.932,1,,76.43,$67.32,$45.92,46.60,$73.02
TDG,TransDigm Group Inc.,0.751,6,$1332.04,27.51,$1185.97,$1123.61,5.55,$1463.03
BN,Brookfield Corp.,0.736,9,$42.59,16.29,$41.33,$37.87,9.14,$49.40
SPGI,S&P Global Inc.,0.730,15,$407.26,19.92,$442.89,$360.09,22.99,$521.12
ASML,ASML Holding NV,0.722,9,$1989.38,21.11,$1696.16,$711.50,138.39,$1997.36
NVDA,NVIDIA Corp.,0.720,18,$200.09,9.34,$217.55,$163.85,32.77,$236.26
IBKR,Interactive Brokers Group Inc.,0.706,6,$87.04,33.42,$95.84,$58.76,63.10,$98.75
IEP,Icahn Enterprises,0.658,1,,53.95,$6.78,$5.82,16.49,$7.44
FICO,Fair Isaac Corp.,0.581,8,$1194.78,25.77,$1153.57,$870.01,32.59,$1998.01
HCC,Warrior Met Coal Inc.,0.580,3,$81.16,43.32,$107.07,$54.46,96.60,$111.20
LOAR,Loar Holdings Inc,0.575,1,,47.15,$71.69,$53.15,34.88,$83.43
MOH,Molina Healthcare Inc.,0.567,3,$193.75,43.49,$200.00,$121.06,65.21,$244.89
GPI,Group 1 Automotive,0.566,2,$291.17,46.41,$263.95,$249.54,5.77,$486.11
PDD,Pinduoduo Inc.,0.545,4,$76.28,22.17,$85.69,$71.94,19.11,$139.41
UBER,Uber Technologies Inc.,0.521,11,$72.16,12.72,$78.82,$65.41,20.50,$101.99
AMAT,Applied Materials,0.516,12,$723.00,19.48,$461.67,$153.62,200.53,$738.88
C,Citigroup Inc.,0.484,8,$139.96,18.50,$132.90,$91.03,46.00,$147.21
COF,Capital One Financial,0.470,16,$200.62,7.13,$215.67,$173.62,24.22,$256.63
AXP,American Express,0.464,16,$338.24,17.14,$333.20,$289.26,15.19,$384.36
SUNB,Sunbelt Rentals Holdings Inc,0.464,12,$75.05,10.59,$73.20,$60.40,21.19,$85.78
ELV,Elevance Health Inc.,0.457,12,$386.73,9.11,$394.43,$272.05,44.98,$436.24
SNX,SYNNEX Corp.,0.456,4,$267.34,26.38,$253.97,$141.15,79.93,$295.89
CROX,Crocs Inc.,0.443,6,$120.64,27.20,$122.23,$73.21,66.96,$141.28
DIS,Walt Disney Co.,0.432,20,$96.25,9.55,$108.10,$91.48,18.17,$118.07
LULU,Lululemon Athletica Inc.,0.403,4,$176.58,32.35,$120.81,$104.44,15.67,$225.98
CVS,CVS Health Corp.,0.396,10,$103.45,10.63,$93.06,$67.46,37.95,$110.00
EQH,Equitable Holdings Inc.,0.395,5,$43.88,30.38,$50.20,$34.72,44.59,$53.71
SLM,SLM Corp.,0.387,3,$27.27,24.16,$26.41,$17.55,50.48,$31.48
JHG-OLD,Janus Henderson Group,0.385,1,,31.53,$51.98,$37.96,36.93,$53.76
RIG,Transocean Ltd.,0.373,2,$4.89,30.53,$5.80,$2.93,97.95,$7.66
AVGO,Broadcom Inc.,0.368,13,$377.75,10.61,$368.79,$285.08,29.36,$494.22
ICLR,ICON plc,0.358,6,$173.71,11.94,$170.02,$66.57,155.40,$203.91
FERG,Ferguson Enterprises Inc.,0.339,11,$237.33,6.88,$228.49,$203.74,12.15,$268.59
SCHW,Charles Schwab Corp.,0.338,11,$92.27,6.56,$110.16,$83.72,31.58,$114.53
ADI,Analog Devices,0.319,11,$397.17,7.97,$361.78,$221.38,63.42,$445.91
AMR,Alpha Metallurgical Resources Inc.,0.318,1,,26.11,$226.23,$133.64,69.28,$253.82
MKL,Markel Group Inc.,0.309,5,$1953.01,10.89,$1818.69,$1719.41,5.77,$2207.59
