Symbol,Stock,%▼,"Ownership
count",Hold Price*,Max %,"Current
Price","52 Week
Low","% Above
52 Week
Low","52 Week
High"
AMZN,Amazon.com Inc.,2.917,34,$238.34,32.21,$260.18,$196.00,32.74,$287.20
GOOG,Alphabet Inc. CL C,2.582,34,$353.33,23.39,$342.69,$205.36,66.87,$404.23
BRK.B,Berkshire Hathaway CL B,2.416,26,$500.39,33.89,$504.37,$464.01,8.70,$537.74
GOOGL,Alphabet Inc.,2.084,36,$357.37,24.55,$345.98,$204.70,69.02,$408.37
MSFT,Microsoft Corp.,1.779,37,$373.02,20.54,$489.73,$348.54,40.51,$549.20
BRK.A,Berkshire Hathaway CL A,1.758,17,$748851.77,42.42,$756137.88,$698000.00,8.33,$806102.81
V,Visa Inc.,1.713,30,$343.09,19.83,$382.85,$292.74,30.78,$383.43
META,Meta Platforms Inc.,1.580,31,$563.30,20.45,$565.02,$519.78,8.70,$788.22
CVNA,Carvana Co.,1.483,7,$65.82,78.85,$75.73,$54.46,39.06,$97.38
MA,Mastercard Inc.,1.419,22,$513.60,20.01,$599.00,$463.74,29.17,$599.99
AAPL,Apple Inc.,1.224,22,$289.36,41.05,$309.65,$223.86,38.32,$344.27
TSM,Taiwan Semiconductor S.A.,0.986,24,$477.55,10.55,$415.46,$223.20,86.14,$479.00
GE,GE Aerospace,0.968,10,$373.73,35.61,$347.50,$265.21,31.03,$388.84
MCO,Moody's Corp.,0.948,17,$452.92,19.14,$511.57,$399.61,28.02,$543.25
JOE,St. Joe Co.,0.932,1,,76.43,$69.39,$45.92,51.11,$73.02
TDG,TransDigm Group Inc.,0.751,6,$1332.04,27.51,$1192.91,$1123.61,6.17,$1463.03
BN,Brookfield Corp.,0.736,9,$42.59,16.29,$42.13,$37.87,11.25,$49.40
SPGI,S&P Global Inc.,0.730,15,$407.26,19.92,$431.81,$360.90,19.65,$524.89
ASML,ASML Holding NV,0.722,9,$1989.38,21.11,$1745.50,$711.50,145.33,$1997.36
NVDA,NVIDIA Corp.,0.720,18,$200.09,9.34,$212.13,$163.85,29.47,$236.26
