Symbol,Stock,%▼,"Ownership
count",Hold Price*,Max %,"Current
Price","52 Week
Low","% Above
52 Week
Low","52 Week
High"
CP,Canadian Pacific Kansas City,0.261,7,$86.65,7.44,$94.67,$67.98,39.26,$96.90
LYV,Live Nation Inc.,0.257,8,$183.11,7.69,$184.41,$125.34,47.13,$189.25
APP,Applovin Corp.,0.257,4,$515.25,14.50,$300.06,$298.00,0.69,$745.61
ASH,Ashland Global Holdings Inc.,0.256,2,$65.89,17.47,$73.57,$45.29,62.44,$78.25
GM,General Motors,0.255,7,$77.08,11.46,$87.06,$53.98,61.28,$91.85
LEN,Lennar Corp.,0.255,4,$90.49,11.82,$87.98,$79.83,10.21,$141.39
BKNG,Booking Holdings Inc.,0.253,6,$178.24,8.46,$212.85,$149.76,42.13,$229.86
RPRX,Royalty Pharma plc,0.250,3,$56.07,8.82,$61.04,$33.43,82.59,$62.13
VRT,Vertiv Holdings Co.,0.250,3,$334.82,20.37,$254.99,$118.57,115.05,$379.86
NFLX,Netflix Inc.,0.248,11,$71.40,5.41,$80.49,$65.08,23.68,$126.71
CNI,Canadian Natl Railway Co.,0.247,6,$119.24,17.95,$127.11,$89.10,42.66,$131.55
DHR,Danaher Corp.,0.245,12,$190.48,7.64,$215.51,$160.60,34.19,$241.78
BAC,Bank of America Corp.,0.244,15,$56.98,9.20,$62.34,$45.88,35.88,$65.23
BDX,Becton Dickinson,0.239,7,$151.33,9.93,$190.52,$125.19,52.18,$192.30
QSR,Restaurant Brands International,0.238,3,$72.51,9.62,$81.00,$59.14,36.96,$81.46
GRBK,Green Brick Partners,0.237,2,$80.04,19.39,$72.83,$60.44,20.50,$83.18
CRM,Salesforce.com,0.235,10,$156.66,8.33,$209.46,$146.32,43.15,$267.75
AZN,AstraZeneca PLC,0.233,3,$187.18,19.03,$166.29,$90.90,82.94,$209.12
KKR,KKR & Co. L.P.,0.231,7,$91.78,8.95,$107.71,$82.35,30.80,$151.00
WFC,Wells Fargo,0.225,14,$82.64,3.11,$84.74,$72.36,17.11,$96.18
YETI,YETI Holdings Inc.,0.224,2,$49.56,18.33,$43.14,$31.66,36.26,$53.99
SGOV,Ishares 0 3 Month Treasury B,0.220,4,$100.67,10.59,$100.63,$96.93,3.82,$100.64
CACC,Credit Acceptance Corp.,0.220,2,$636.74,18.01,$599.73,$401.90,49.22,$668.86
RACE,Ferrari NV,0.216,4,$370.77,7.71,$422.91,$308.95,36.89,$498.75
PM,Philip Morris Intl.,0.212,10,$180.91,9.18,$190.70,$138.43,37.76,$207.76
SOLV,Solventum Corp,0.210,4,$77.15,15.02,$90.18,$62.38,44.57,$90.68
WBD,Warner Bros. Discovery Inc.,0.209,5,$26.66,11.68,$28.82,$11.25,156.18,$30.00
LAD,Lithia Motors Inc.,0.207,6,$290.49,13.20,$371.16,$238.86,55.39,$438.67
TXN,Texas Instruments,0.206,14,$298.07,3.93,$260.47,$150.20,73.42,$332.33
OMF,OneMain Holdings,0.200,4,$60.97,10.08,$63.08,$44.20,42.71,$68.16
EGO,Eldorado Gold Corp.,0.197,1,,16.18,$46.29,$22.57,105.10,$50.96
CPNG,Coupang Inc.,0.196,8,$17.37,6.89,$16.40,$14.92,9.92,$34.08
TKO,TKO Group Holdings Inc.,0.196,1,,16.07,$194.59,$173.96,11.86,$225.15
IFF,International Flavors & Fragrances Inc.,0.194,5,$79.22,5.43,$85.15,$58.13,46.48,$89.32
OXY,Occidental Petroleum,0.192,4,$48.57,7.02,$59.92,$38.44,55.88,$67.14
AON,Aon Plc,0.191,10,$331.69,4.91,$358.06,$303.10,18.13,$381.47
FWONK,Liberty Media Corp Formula One Series C,0.191,3,$95.14,7.73,$107.08,$80.15,33.60,$109.36
GXO,Gxo Logistics Inc.,0.189,1,,15.46,$46.80,$45.00,4.00,$66.85
EPD,Enterprise Products Partners LP,0.188,6,$36.76,13.46,$38.41,$28.18,36.30,$39.58
APTV,Aptiv PLC,0.187,2,$61.38,14.51,$47.33,$46.16,2.53,$78.49
AER,AerCap Holdings N.V.,0.185,3,$145.78,7.16,$147.56,$117.54,25.54,$158.38
ALC,Alcon Inc.,0.185,2,$67.33,15.19,$73.60,$61.84,19.02,$87.22
PEP,PepsiCo Inc.,0.184,12,$135.40,5.27,$144.62,$133.40,8.41,$168.19
MU,Micron Technology Inc.,0.184,5,$1154.29,15.06,$918.88,$114.07,705.54,$1254.81
CMCSA,Comcast Corp.,0.183,14,$24.55,3.15,$27.12,$21.28,27.44,$32.04
LLY,Eli Lilly & Co.,0.183,7,$1199.42,6.89,$1244.25,$689.88,80.36,$1292.65
KO,Coca Cola Co.,0.182,9,$81.27,10.86,$91.76,$64.04,43.29,$92.31
BLK,BlackRock Inc.,0.181,6,$961.57,9.93,$1167.56,$912.25,27.99,$1200.54
DASH,DoorDash Inc.,0.181,4,$184.53,7.46,$229.25,$143.30,59.98,$285.50
PVH,PVH Corp.,0.179,4,$74.26,9.92,$76.91,$59.58,29.09,$100.75
HGV,Hilton Grand Vacations Inc.,0.177,2,$52.37,14.48,$44.59,$36.79,21.20,$55.40
SIRI,SiriusXM Holdings Inc,0.175,5,$29.54,5.59,$28.53,$19.15,48.98,$32.37
ICE,Intercontinental Exchange Inc.,0.174,6,$123.11,4.90,$161.86,$121.79,32.90,$179.36
BAYRY,Bayer Ag Sponsored ADR,0.172,1,,14.12,$14.12,$7.46,89.28,$15.23
ACN,Accenture,0.170,12,$124.44,4.86,$185.45,$116.75,58.84,$285.21
BAX,Baxter International Inc.,0.170,7,$21.32,4.09,$26.09,$15.72,65.97,$30.00
CCL,Carnival Corp.,0.170,2,$28.57,12.78,$25.76,$23.21,10.99,$33.49
TOL,Toll Brothers,0.169,4,$164.75,10.71,$147.65,$122.93,20.11,$167.75
TRMD,Torm Plc,0.169,2,$25.79,13.87,$31.78,$17.91,77.44,$34.50
DG,Dollar General,0.168,5,$115.11,8.66,$124.48,$93.78,32.74,$156.68
OKTA,Okta Inc.,0.168,1,,13.80,$130.82,$62.66,108.78,$157.00
TSLA,Tesla Inc.,0.167,6,$420.60,7.44,$353.61,$297.38,18.91,$498.83
IONS,Ionis Pharmaceuticals Inc.,0.167,1,,13.70,$61.39,$41.71,47.18,$86.74
ROP,Roper Technologies Inc.,0.165,4,$338.39,7.80,$412.43,$305.19,35.14,$533.51
ORCL,Oracle Corp.,0.164,14,$146.55,4.51,$143.50,$114.50,25.33,$341.82
APH,Amphenol Corp.,0.164,7,$176.32,8.29,$155.62,$104.74,48.58,$178.52
SPOT,Spotify Technology S.A.,0.163,7,$459.13,4.96,$534.45,$405.00,31.96,$745.00
KEX,Kirby Corp.,0.161,1,,13.22,$138.35,$79.52,73.98,$157.69
PG,Procter & Gamble,0.160,9,$146.64,4.38,$145.95,$134.62,8.42,$164.77
GIL,Gildan Activewear Inc.,0.160,1,,13.10,$54.80,$46.35,18.23,$72.73
AJG,Arthur J. Gallagher & Co.,0.159,6,$229.57,6.43,$269.30,$190.12,41.65,$310.73
XRAY,DENTSPLY SIRONA Inc.,0.159,3,$10.61,12.18,$10.88,$9.41,15.62,$14.76
PFE,Pfizer Inc.,0.158,10,$24.08,3.07,$28.02,$22.03,27.19,$28.44
VMC,Vulcan Materials,0.157,6,$295.01,5.62,$274.69,$251.38,9.27,$329.20
USB,U.S. Bancorp,0.157,6,$60.41,5.56,$62.39,$43.76,42.57,$66.08
ADP,Automatic Data Processing Inc.,0.157,6,$223.95,4.93,$282.52,$186.74,51.29,$300.54
MDLN,Medline Inc Cl A,0.157,4,$39.44,6.28,$34.57,$32.49,6.40,$50.88
INTU,Intuit Inc.,0.156,8,$261.00,6.62,$370.39,$251.72,47.14,$697.25
NEM,Newmont Corp.,0.156,4,$93.40,6.25,$131.05,$68.32,91.82,$134.29
SHW,Sherwin-Williams,0.155,7,$344.32,4.50,$345.71,$289.19,19.54,$376.08
SGI,Somnigroup International Inc.,0.155,2,$78.40,8.30,$64.26,$60.08,6.96,$97.86
EXE,Expand Energy Corp.,0.154,1,,12.64,$95.31,$84.48,12.82,$124.43
HD,Home Depot,0.153,10,$352.68,5.61,$336.43,$286.95,17.24,$418.06
GEHC,GE HealthCare Technologies Inc.,0.153,8,$64.01,4.67,$74.20,$58.72,26.36,$89.64
EG,Everest Group Ltd,0.153,4,$357.23,11.28,$376.27,$296.87,26.75,$401.07
DE,Deere & Co.,0.152,7,$634.33,6.56,$649.50,$429.14,51.35,$670.49
CRH,CRH plc,0.152,5,$107.00,5.14,$95.50,$92.52,3.22,$130.09
UHAL.B,U Haul Holding Co Non Voting,0.152,4,$57.70,4.42,$62.72,$39.58,58.46,$66.90
ALK,Alaska Air Group,0.151,2,$52.20,10.58,$41.65,$33.03,26.10,$65.88
WAT,Waters Corp.,0.150,8,$375.04,6.25,$407.87,$282.77,44.24,$421.74
MSI,Motorola Solutions Inc.,0.148,8,$415.29,5.63,$480.69,$357.34,34.52,$493.57
TRU,TransUnion,0.148,3,$72.14,5.94,$84.60,$63.28,33.69,$94.90
INTC,Intel Corp.,0.147,7,$139.63,4.62,$87.71,$23.65,270.87,$142.35
JPM,JPMorgan Chase & Co.,0.146,15,$327.33,3.54,$356.21,$276.43,28.86,$366.50
HEI.A,HEICO Corp. CL A,0.146,4,$257.91,6.38,$259.75,$199.25,30.36,$279.52
UNP,Union Pacific,0.145,11,$272.00,5.95,$309.12,$207.45,49.01,$315.99
PPLI,People Inc.,0.143,3,$46.16,7.54,$38.59,$29.56,30.55,$48.32
SW,Smurfit Westrock Plc,0.143,3,$46.26,7.56,$49.04,$31.79,54.26,$51.52
FBIN,Fortune Brands Innovations Inc.,0.141,5,$54.90,4.83,$44.45,$31.92,39.25,$63.70
RBC,RBC Bearings Inc.,0.141,2,$644.06,10.70,$500.18,$364.50,37.22,$667.69
PGR,Progressive Corp.,0.140,7,$218.45,4.79,$222.77,$187.79,18.63,$239.38
OSK,Oshkosh Corp.,0.140,5,$153.48,6.69,$155.88,$115.83,34.58,$178.55
ET,Energy Transfer LP,0.140,4,$19.12,7.18,$21.14,$15.10,40.00,$21.64
SN,Sharkninja Inc,0.139,5,$152.27,10.67,$183.94,$83.12,121.29,$191.22
