Symbol,Stock,%▼,"Ownership
count",Hold Price*,Max %,"Current
Price","52 Week
Low","% Above
52 Week
Low","52 Week
High"
AMZN,Amazon.com Inc.,2.917,34,$238.34,32.21,$253.47,$196.00,29.32,$287.20
GOOG,Alphabet Inc. CL C,2.582,34,$353.33,23.39,$343.83,$236.07,45.65,$403.96
BRK.B,Berkshire Hathaway CL B,2.416,26,$500.39,33.89,$515.29,$464.01,11.05,$537.74
GOOGL,Alphabet Inc.,2.084,36,$357.37,24.55,$347.28,$235.23,47.63,$408.10
MSFT,Microsoft Corp.,1.779,37,$373.02,20.54,$506.41,$348.54,45.29,$549.20
BRK.A,Berkshire Hathaway CL A,1.758,17,$748851.77,42.42,$772829.25,$698000.00,10.72,$806102.81
V,Visa Inc.,1.713,30,$343.09,19.83,$374.32,$292.74,27.87,$385.57
META,Meta Platforms Inc.,1.580,31,$563.30,20.45,$664.70,$519.78,27.88,$788.22
CVNA,Carvana Co.,1.483,7,$65.82,78.85,$70.44,$54.46,29.34,$97.38
MA,Mastercard Inc.,1.419,22,$513.60,20.01,$572.37,$463.74,23.42,$601.23
AAPL,Apple Inc.,1.224,22,$289.36,41.05,$334.81,$228.18,46.73,$344.27
TSM,Taiwan Semiconductor S.A.,0.986,24,$477.55,10.55,$422.55,$255.60,65.32,$479.00
GE,GE Aerospace,0.968,10,$373.73,35.61,$317.19,$268.58,18.10,$388.84
MCO,Moody's Corp.,0.948,17,$452.92,19.14,$476.03,$399.61,19.12,$543.25
JOE,St. Joe Co.,0.932,1,,76.43,$65.08,$45.92,41.72,$73.02
TDG,TransDigm Group Inc.,0.751,6,$1332.04,27.51,$1114.52,$1109.50,0.45,$1463.03
BN,Brookfield Corp.,0.736,9,$42.59,16.29,$37.58,$37.40,0.48,$49.40
SPGI,S&P Global Inc.,0.730,15,$407.26,19.92,$418.50,$360.09,16.22,$521.12
ASML,ASML Holding NV,0.722,9,$1989.38,21.11,$1588.08,$801.01,98.26,$1997.36
NVDA,NVIDIA Corp.,0.720,18,$200.09,9.34,$212.17,$163.90,29.45,$236.00
IBKR,Interactive Brokers Group Inc.,0.706,6,$87.04,33.42,$90.35,$58.70,53.92,$98.66
IEP,Icahn Enterprises,0.658,1,,53.95,$7.03,$5.82,20.79,$7.44
FICO,Fair Isaac Corp.,0.581,8,$1194.78,25.77,$996.18,$870.01,14.50,$1998.01
HCC,Warrior Met Coal Inc.,0.580,3,$81.16,43.32,$96.12,$57.32,67.69,$111.42
LOAR,Loar Holdings Inc,0.575,1,,47.15,$64.82,$53.15,21.96,$83.43
MOH,Molina Healthcare Inc.,0.567,3,$193.75,43.49,$213.76,$121.06,76.57,$244.89
GPI,Group 1 Automotive,0.566,2,$291.17,46.41,$285.18,$249.03,14.52,$482.31
PDD,Pinduoduo Inc.,0.545,4,$76.28,22.17,$79.27,$71.94,10.19,$139.41
UBER,Uber Technologies Inc.,0.521,11,$72.16,12.72,$72.38,$65.41,10.66,$101.99
AMAT,Applied Materials,0.516,12,$723.00,19.48,$428.36,$166.26,157.64,$738.88
C,Citigroup Inc.,0.484,8,$139.96,18.50,$134.39,$91.72,46.52,$147.21
COF,Capital One Financial,0.470,16,$200.62,7.13,$207.27,$173.62,19.38,$256.63
AXP,American Express,0.464,16,$338.24,17.14,$327.61,$289.26,13.26,$384.36
SUNB,Sunbelt Rentals Holdings Inc,0.464,12,$75.05,10.59,$72.60,$60.40,20.20,$85.78
ELV,Elevance Health Inc.,0.457,12,$386.73,9.11,$425.45,$270.87,57.07,$434.35
SNX,SYNNEX Corp.,0.456,4,$267.34,26.38,$261.46,$141.15,85.24,$295.89
CROX,Crocs Inc.,0.443,6,$120.64,27.20,$111.89,$73.21,52.83,$141.28
DIS,Walt Disney Co.,0.432,20,$96.25,9.55,$108.76,$91.48,18.89,$115.42
LULU,Lululemon Athletica Inc.,0.403,4,$176.58,32.35,$100.52,$95.67,5.07,$225.98
CVS,CVS Health Corp.,0.396,10,$103.45,10.63,$95.93,$68.48,40.08,$110.00
EQH,Equitable Holdings Inc.,0.395,5,$43.88,30.38,$53.63,$34.72,54.46,$53.87
SLM,SLM Corp.,0.387,3,$27.27,24.16,$26.38,$17.46,51.09,$30.52
JHG-OLD,Janus Henderson Group,0.385,1,,31.53,$51.98,$37.96,36.93,$53.76
RIG,Transocean Ltd.,0.373,2,$4.89,30.53,$5.48,$3.03,80.86,$7.66
AVGO,Broadcom Inc.,0.368,13,$377.75,10.61,$345.33,$289.50,19.28,$494.22
ICLR,ICON plc,0.358,6,$173.71,11.94,$169.20,$66.57,154.17,$203.91
FERG,Ferguson Enterprises Inc.,0.339,11,$237.33,6.88,$221.90,$203.74,8.91,$268.59
SCHW,Charles Schwab Corp.,0.338,11,$92.27,6.56,$107.22,$83.72,28.07,$114.53
ADI,Analog Devices,0.319,11,$397.17,7.97,$362.97,$220.71,64.46,$444.56
AMR,Alpha Metallurgical Resources Inc.,0.318,1,,26.11,$199.85,$133.64,49.54,$253.82
MKL,Markel Group Inc.,0.309,5,$1953.01,10.89,$1797.50,$1719.41,4.54,$2207.59
UNH,United Health Group Inc.,0.302,17,$415.63,6.05,$384.70,$254.51,51.15,$461.62
TMO,Thermo Fisher Scientific,0.301,11,$501.36,9.81,$611.70,$434.83,40.68,$647.00
KHC,Kraft Heinz Co.,0.299,9,$23.61,12.80,$24.39,$20.34,19.91,$27.65
PYPL,PayPal Holdings Inc.,0.294,8,$43.18,10.61,$54.00,$38.12,41.66,$78.34
RKT,Rocket Companies Inc.,0.290,5,$15.75,11.65,$13.66,$12.17,12.24,$24.36
CVI,CVR Energy Inc.,0.289,1,,23.73,$48.99,$19.50,151.23,$52.40
VFC,V.F. Corp.,0.287,2,$16.68,23.36,$13.12,$12.46,5.30,$22.00
BABA,Alibaba Group Holdings,0.281,9,$95.98,16.92,$109.33,$91.99,18.85,$190.92
CAT,Caterpillar Inc.,0.275,6,$1064.90,19.65,$787.81,$423.93,85.83,$1071.47
CNH,CNH Industrial NV,0.271,5,$11.23,17.11,$13.81,$8.91,54.99,$14.46
WM,Waste Management Inc.,0.267,3,$222.88,17.30,$218.52,$190.92,14.46,$246.06
ORLA-OLD,Orla Mining Ltd,0.264,3,$9.73,21.55,$9.45,$8.43,12.10,$21.95
CP,Canadian Pacific Kansas City,0.261,7,$86.65,7.44,$90.01,$67.98,32.41,$96.90
LYV,Live Nation Inc.,0.257,8,$183.11,7.69,$172.40,$125.34,37.55,$189.25
APP,Applovin Corp.,0.257,4,$515.25,14.50,$333.43,$297.50,12.08,$745.61
ASH,Ashland Global Holdings Inc.,0.256,2,$65.89,17.47,$69.53,$45.04,54.37,$77.80
GM,General Motors,0.255,7,$77.08,11.46,$87.11,$53.87,61.70,$91.66
LEN,Lennar Corp.,0.255,4,$90.49,11.82,$80.26,$76.63,4.74,$137.24
BKNG,Booking Holdings Inc.,0.252,6,$178.24,8.46,$174.82,$149.40,17.01,$222.95
RPRX,Royalty Pharma plc,0.250,3,$56.07,8.82,$58.97,$33.97,73.59,$64.38
VRT,Vertiv Holdings Co.,0.250,3,$334.82,20.37,$239.44,$132.58,80.60,$379.86
NFLX,Netflix Inc.,0.248,11,$71.40,5.41,$80.28,$65.08,23.36,$124.86
CNI,Canadian Natl Railway Co.,0.247,6,$119.24,17.95,$122.43,$88.62,38.15,$130.84
DHR,Danaher Corp.,0.245,12,$190.48,7.64,$202.68,$160.60,26.20,$241.78
BAC,Bank of America Corp.,0.244,15,$56.98,9.20,$59.07,$45.64,29.43,$64.89
BDX,Becton Dickinson,0.238,7,$151.33,9.93,$182.29,$124.46,46.46,$191.94
QSR,Restaurant Brands International,0.238,3,$72.51,9.62,$79.16,$60.54,30.76,$81.88
GRBK,Green Brick Partners,0.237,2,$80.04,19.39,$69.01,$60.44,14.18,$83.18
CRM,Salesforce.com,0.235,10,$156.66,8.33,$259.26,$146.32,77.19,$268.27
AZN,AstraZeneca PLC,0.233,3,$187.18,19.03,$163.70,$90.90,80.09,$209.12
KKR,KKR & Co. L.P.,0.231,7,$91.78,8.95,$101.66,$82.35,23.45,$151.00
WFC,Wells Fargo,0.225,14,$82.64,3.11,$88.40,$72.36,22.17,$96.18
YETI,YETI Holdings Inc.,0.224,2,$49.56,18.33,$40.80,$31.66,28.87,$53.99
SGOV,Ishares 0 3 Month Treasury B,0.220,4,$100.67,10.59,$100.53,$96.89,3.76,$100.53
CACC,Credit Acceptance Corp.,0.220,2,$636.74,18.01,$602.85,$401.90,50.00,$668.86
RACE,Ferrari NV,0.216,4,$370.77,7.71,$408.06,$308.95,32.08,$498.75
PM,Philip Morris Intl.,0.212,10,$180.91,9.18,$194.11,$138.43,40.22,$207.76
SOLV,Solventum Corp,0.210,4,$77.15,15.02,$89.69,$62.38,43.78,$94.16
WBD,Warner Bros. Discovery Inc.,0.209,5,$26.66,11.68,$28.12,$17.08,64.64,$30.00
LAD,Lithia Motors Inc.,0.207,6,$290.49,13.20,$361.06,$238.86,51.16,$438.67
TXN,Texas Instruments,0.206,14,$298.07,3.93,$265.21,$150.20,76.57,$332.33
OMF,OneMain Holdings,0.200,4,$60.97,10.08,$62.97,$44.20,42.47,$68.16
EGO,Eldorado Gold Corp.,0.197,1,,16.18,$41.16,$24.30,69.38,$50.88
CPNG,Coupang Inc.,0.196,8,$17.37,6.89,$15.11,$14.45,4.57,$34.08
TKO,TKO Group Holdings Inc.,0.196,1,,16.07,$194.27,$173.96,11.68,$225.15
IFF,International Flavors & Fragrances Inc.,0.194,5,$79.22,5.43,$83.76,$58.13,44.09,$89.32
OXY,Occidental Petroleum,0.192,4,$48.57,7.02,$61.63,$38.26,61.08,$66.83
AON,Aon Plc,0.191,10,$331.69,4.91,$308.50,$302.44,2.00,$381.47
FWONK,Liberty Media Corp Formula One Series C,0.191,3,$95.14,7.73,$96.02,$80.15,19.80,$109.36
GXO,Gxo Logistics Inc.,0.189,1,,15.46,$46.78,$45.00,3.96,$66.85
EPD,Enterprise Products Partners LP,0.188,6,$36.76,13.46,$38.70,$28.18,37.33,$39.69
APTV,Aptiv PLC,0.187,2,$61.38,14.51,$44.35,$43.83,1.19,$78.49
AER,AerCap Holdings N.V.,0.185,3,$145.78,7.16,$139.47,$117.73,18.47,$158.38
ALC,Alcon Inc.,0.185,2,$67.33,15.19,$67.69,$61.84,9.46,$87.22
PEP,PepsiCo Inc.,0.184,12,$135.40,5.27,$136.67,$131.99,3.55,$166.41
MU,Micron Technology Inc.,0.184,5,$1154.29,15.06,$927.54,$152.96,506.39,$1254.81
CMCSA,Comcast Corp.,0.183,14,$24.55,3.15,$25.01,$21.28,17.53,$32.04
LLY,Eli Lilly & Co.,0.183,7,$1199.42,6.89,$1139.38,$707.59,61.02,$1292.65
KO,Coca Cola Co.,0.182,9,$81.27,10.86,$89.22,$64.04,39.32,$92.49
BLK,BlackRock Inc.,0.181,6,$961.57,9.93,$1064.87,$907.59,17.33,$1194.41
DASH,DoorDash Inc.,0.181,4,$184.53,7.46,$202.29,$143.30,41.17,$285.50
PVH,PVH Corp.,0.179,4,$74.26,9.92,$73.12,$59.55,22.79,$100.69
HGV,Hilton Grand Vacations Inc.,0.177,2,$52.37,14.48,$38.84,$36.79,5.57,$55.40
SIRI,SiriusXM Holdings Inc,0.175,5,$29.54,5.59,$29.46,$19.15,53.84,$32.37
ICE,Intercontinental Exchange Inc.,0.174,6,$123.11,4.90,$157.43,$121.79,29.26,$174.83
BAYRY,Bayer Ag Sponsored ADR,0.172,1,,14.12,$14.07,$7.46,88.61,$15.23
ACN,Accenture,0.170,12,$124.44,4.86,$193.86,$116.75,66.05,$285.21
BAX,Baxter International Inc.,0.170,7,$21.32,4.09,$23.79,$15.72,51.34,$29.99
CCL,Carnival Corp.,0.170,2,$28.57,12.78,$22.68,$22.28,1.80,$33.49
TOL,Toll Brothers,0.169,4,$164.75,10.71,$134.88,$122.93,9.72,$167.75
TRMD,Torm Plc,0.169,2,$25.79,13.87,$35.42,$16.70,112.10,$35.60
OKTA,Okta Inc.,0.168,1,,13.80,$188.10,$62.66,200.19,$188.94
TSLA,Tesla Inc.,0.167,6,$420.60,7.44,$359.56,$297.38,20.91,$498.83
DG,Dollar General,0.167,5,$115.11,8.66,$128.78,$93.78,37.32,$156.68
IONS,Ionis Pharmaceuticals Inc.,0.167,1,,13.70,$51.47,$50.01,2.92,$86.74
ROP,Roper Technologies Inc.,0.165,4,$338.39,7.80,$394.97,$305.19,29.42,$517.59
ORCL,Oracle Corp.,0.164,14,$146.55,4.51,$143.40,$114.50,25.24,$325.79
APH,Amphenol Corp.,0.164,7,$88.16,8.29,$79.23,$58.35,35.78,$89.26
