Symbol,Stock,%▼,"Ownership
count",Hold Price*,Max %,"Current
Price","52 Week
Low","% Above
52 Week
Low","52 Week
High"
AMZN,Amazon.com Inc.,2.917,34,$238.34,32.21,$254.58,$196.00,29.89,$287.20
GOOG,Alphabet Inc. CL C,2.582,34,$353.33,23.39,$347.85,$236.07,47.35,$403.96
BRK.B,Berkshire Hathaway CL B,2.416,26,$500.39,33.89,$509.83,$464.01,9.87,$537.74
GOOGL,Alphabet Inc.,2.084,36,$357.37,24.55,$351.81,$235.23,49.56,$408.10
MSFT,Microsoft Corp.,1.779,37,$373.02,20.54,$495.72,$348.54,42.23,$549.20
BRK.A,Berkshire Hathaway CL A,1.758,17,$748851.77,42.42,$765180.25,$698000.00,9.62,$806102.81
V,Visa Inc.,1.713,30,$343.09,19.83,$369.09,$292.74,26.08,$385.57
META,Meta Platforms Inc.,1.580,31,$563.30,20.45,$671.79,$519.78,29.25,$788.22
CVNA,Carvana Co.,1.483,7,$65.82,78.85,$65.21,$54.46,19.74,$97.38
MA,Mastercard Inc.,1.419,22,$513.60,20.01,$565.12,$463.74,21.86,$601.23
AAPL,Apple Inc.,1.224,22,$289.36,41.05,$336.10,$235.78,42.55,$344.27
TSM,Taiwan Semiconductor S.A.,0.986,24,$477.55,10.55,$430.31,$255.33,68.53,$477.72
GE,GE Aerospace,0.968,10,$373.73,35.61,$312.54,$268.58,16.37,$388.84
MCO,Moody's Corp.,0.948,17,$452.92,19.14,$468.76,$399.61,17.30,$543.25
JOE,St. Joe Co.,0.932,1,,76.43,$63.70,$45.92,38.72,$73.02
TDG,TransDigm Group Inc.,0.751,6,$1332.04,27.51,$1086.03,$1071.25,1.38,$1463.03
BN,Brookfield Corp.,0.736,9,$42.59,16.29,$37.46,$36.67,2.15,$49.31
SPGI,S&P Global Inc.,0.730,15,$407.26,19.92,$406.41,$360.09,12.86,$521.12
ASML,ASML Holding NV,0.722,9,$1989.38,21.11,$1650.90,$910.02,81.41,$1997.36
NVDA,NVIDIA Corp.,0.720,18,$200.09,9.34,$219.74,$163.90,34.07,$236.00
IBKR,Interactive Brokers Group Inc.,0.706,6,$87.04,33.42,$90.55,$58.70,54.26,$98.66
IEP,Icahn Enterprises,0.658,1,,53.95,$6.98,$5.82,19.93,$7.44
FICO,Fair Isaac Corp.,0.581,8,$1194.78,25.77,$956.34,$870.01,9.92,$1998.01
HCC,Warrior Met Coal Inc.,0.580,3,$81.16,43.32,$87.61,$60.48,44.86,$111.42
LOAR,Loar Holdings Inc,0.575,1,,47.15,$64.37,$53.15,21.11,$83.43
MOH,Molina Healthcare Inc.,0.567,3,$193.75,43.49,$202.77,$121.06,67.50,$244.89
GPI,Group 1 Automotive,0.566,2,$291.17,46.41,$248.14,$248.07,0.03,$464.82
PDD,Pinduoduo Inc.,0.545,4,$76.28,22.17,$78.94,$71.94,9.73,$139.41
UBER,Uber Technologies Inc.,0.521,11,$72.16,12.72,$70.64,$65.41,8.00,$101.99
AMAT,Applied Materials,0.516,12,$723.00,19.48,$436.51,$182.82,138.76,$738.88
C,Citigroup Inc.,0.484,8,$139.96,18.50,$132.01,$91.72,43.93,$147.21
COF,Capital One Financial,0.470,16,$200.62,7.13,$202.10,$173.62,16.40,$256.63
AXP,American Express,0.464,16,$338.24,17.14,$312.61,$289.26,8.07,$384.36
SUNB,Sunbelt Rentals Holdings Inc,0.464,12,$75.05,10.59,$73.66,$60.40,21.95,$85.78
ELV,Elevance Health Inc.,0.457,12,$386.73,9.11,$409.46,$270.87,51.16,$434.35
SNX,SYNNEX Corp.,0.456,4,$267.34,26.38,$264.71,$141.15,87.54,$295.89
CROX,Crocs Inc.,0.443,6,$120.64,27.20,$121.34,$73.21,65.74,$141.28
DIS,Walt Disney Co.,0.432,20,$96.25,9.55,$102.54,$91.48,12.09,$115.42
LULU,Lululemon Athletica Inc.,0.403,4,$176.58,32.35,$97.66,$95.35,2.42,$225.98
CVS,CVS Health Corp.,0.396,10,$103.45,10.63,$89.14,$68.48,30.17,$110.00
EQH,Equitable Holdings Inc.,0.395,5,$43.88,30.38,$53.94,$34.72,55.36,$55.06
SLM,SLM Corp.,0.387,3,$27.27,24.16,$25.08,$17.46,43.64,$30.52
JHG-OLD,Janus Henderson Group,0.385,1,,31.53,$51.98,$37.96,36.93,$53.76
RIG,Transocean Ltd.,0.373,2,$4.89,30.53,$5.67,$3.03,87.13,$7.66
AVGO,Broadcom Inc.,0.368,13,$377.75,10.61,$355.68,$289.50,22.86,$494.22
ICLR,ICON plc,0.358,6,$173.71,11.94,$163.26,$66.57,145.25,$203.91
FERG,Ferguson Enterprises Inc.,0.339,11,$237.33,6.88,$214.83,$212.82,0.94,$268.59
SCHW,Charles Schwab Corp.,0.338,11,$92.27,6.56,$105.32,$83.72,25.80,$114.53
ADI,Analog Devices,0.319,11,$397.17,7.97,$371.45,$220.71,68.30,$444.56
AMR,Alpha Metallurgical Resources Inc.,0.318,1,,26.11,$173.16,$133.64,29.57,$253.82
MKL,Markel Group Inc.,0.309,5,$1953.01,10.89,$1786.35,$1719.41,3.89,$2207.59
UNH,United Health Group Inc.,0.302,17,$415.63,6.05,$376.13,$252.95,48.70,$458.79
TMO,Thermo Fisher Scientific,0.301,11,$501.36,9.81,$648.52,$434.50,49.26,$663.57
KHC,Kraft Heinz Co.,0.299,9,$23.61,12.80,$24.45,$20.34,20.21,$27.65
PYPL,PayPal Holdings Inc.,0.294,8,$43.18,10.61,$52.41,$38.12,37.49,$78.34
RKT,Rocket Companies Inc.,0.290,5,$15.75,11.65,$12.43,$12.17,2.14,$24.36
CVI,CVR Energy Inc.,0.289,1,,23.73,$53.56,$19.50,174.67,$54.39
VFC,V.F. Corp.,0.287,2,$16.68,23.36,$12.79,$12.46,2.65,$22.00
BABA,Alibaba Group Holdings,0.281,9,$95.98,16.92,$113.02,$91.99,22.86,$190.92
CAT,Caterpillar Inc.,0.275,6,$1064.90,19.65,$804.54,$444.86,80.85,$1071.47
CNH,CNH Industrial NV,0.271,5,$11.23,17.11,$13.42,$8.91,50.62,$14.46
WM,Waste Management Inc.,0.267,3,$222.88,17.30,$212.04,$190.92,11.06,$246.06
ORLA-OLD,Orla Mining Ltd,0.264,3,$9.73,21.55,$9.45,$8.43,12.10,$21.95
CP,Canadian Pacific Kansas City,0.261,7,$86.65,7.44,$87.76,$67.98,29.10,$96.90
LYV,Live Nation Inc.,0.257,8,$183.11,7.69,$166.92,$125.34,33.17,$189.25
APP,Applovin Corp.,0.257,4,$515.25,14.50,$311.98,$297.50,4.87,$745.61
