Symbol,Stock,%▼,"Ownership
count",Hold Price*,Max %,"Current
Price","52 Week
Low","% Above
52 Week
Low","52 Week
High"
AMZN,Amazon.com Inc.,2.917,34,$238.34,32.21,$253.71,$196.00,29.44,$287.20
GOOG,Alphabet Inc. CL C,2.582,34,$353.33,23.39,$344.41,$236.07,45.89,$403.96
BRK.B,Berkshire Hathaway CL B,2.416,26,$500.39,33.89,$509.77,$464.01,9.86,$537.74
GOOGL,Alphabet Inc.,2.084,36,$357.37,24.55,$349.54,$235.23,48.59,$408.10
MSFT,Microsoft Corp.,1.779,37,$373.02,20.54,$493.78,$348.54,41.67,$549.20
BRK.A,Berkshire Hathaway CL A,1.758,17,$748851.77,42.42,$763600.01,$698000.00,9.40,$806102.81
V,Visa Inc.,1.713,30,$343.09,19.83,$368.29,$292.74,25.81,$385.57
META,Meta Platforms Inc.,1.580,31,$563.30,20.45,$665.75,$519.78,28.08,$788.22
CVNA,Carvana Co.,1.483,7,$65.82,78.85,$65.11,$54.46,19.56,$97.38
MA,Mastercard Inc.,1.419,22,$513.60,20.01,$565.24,$463.74,21.89,$601.23
AAPL,Apple Inc.,1.224,22,$289.36,41.05,$336.13,$239.33,40.45,$344.27
TSM,Taiwan Semiconductor S.A.,0.986,24,$477.55,10.55,$434.67,$260.11,67.11,$477.72
GE,GE Aerospace,0.968,10,$373.73,35.61,$314.27,$268.58,17.01,$388.84
MCO,Moody's Corp.,0.948,17,$452.92,19.14,$468.59,$399.61,17.26,$543.25
JOE,St. Joe Co.,0.932,1,,76.43,$63.84,$45.92,39.02,$73.02
TDG,TransDigm Group Inc.,0.751,6,$1332.04,27.51,$1086.05,$1071.25,1.38,$1463.03
BN,Brookfield Corp.,0.736,9,$42.59,16.29,$37.51,$36.67,2.29,$49.31
SPGI,S&P Global Inc.,0.730,15,$407.26,19.92,$405.32,$360.09,12.56,$521.12
ASML,ASML Holding NV,0.722,9,$1989.38,21.11,$1679.92,$919.79,82.64,$1997.36
NVDA,NVIDIA Corp.,0.720,18,$200.09,9.34,$222.27,$163.90,35.61,$236.00
IBKR,Interactive Brokers Group Inc.,0.706,6,$87.04,33.42,$90.69,$58.70,54.50,$98.66
IEP,Icahn Enterprises,0.658,1,,53.95,$6.97,$5.82,19.76,$7.44
FICO,Fair Isaac Corp.,0.581,8,$1194.78,25.77,$949.68,$870.01,9.16,$1998.01
HCC,Warrior Met Coal Inc.,0.580,3,$81.16,43.32,$87.93,$60.48,45.39,$111.42
LOAR,Loar Holdings Inc,0.575,1,,47.15,$64.43,$53.15,21.22,$83.43
MOH,Molina Healthcare Inc.,0.567,3,$193.75,43.49,$200.79,$121.06,65.86,$244.89
GPI,Group 1 Automotive,0.566,2,$291.17,46.41,$246.42,$246.21,0.09,$459.35
PDD,Pinduoduo Inc.,0.545,4,$76.28,22.17,$78.90,$71.94,9.67,$139.41
UBER,Uber Technologies Inc.,0.521,11,$72.16,12.72,$70.50,$65.41,7.78,$101.99
AMAT,Applied Materials,0.516,12,$723.00,19.48,$444.57,$187.62,136.95,$738.88
C,Citigroup Inc.,0.484,8,$139.96,18.50,$131.77,$91.72,43.67,$147.21
COF,Capital One Financial,0.470,16,$200.62,7.13,$202.43,$173.62,16.59,$256.63
AXP,American Express,0.464,16,$338.24,17.14,$311.56,$289.26,7.71,$384.36
