Symbol,Stock,%▼,"Ownership
count",Hold Price*,Max %,"Current
Price","52 Week
Low","% Above
52 Week
Low","52 Week
High"
AMZN,Amazon.com Inc.,2.917,34,$238.34,32.21,$258.51,$196.00,31.89,$287.20
GOOG,Alphabet Inc. CL C,2.582,34,$353.33,23.39,$335.31,$231.57,44.80,$403.96
BRK.B,Berkshire Hathaway CL B,2.416,26,$500.39,33.89,$506.03,$464.01,9.06,$537.74
GOOGL,Alphabet Inc.,2.084,36,$357.37,24.55,$338.46,$231.09,46.46,$408.10
MSFT,Microsoft Corp.,1.779,37,$373.02,20.54,$499.70,$348.54,43.37,$549.20
BRK.A,Berkshire Hathaway CL A,1.758,17,$748851.77,42.42,$759350.01,$698000.00,8.79,$806102.81
V,Visa Inc.,1.713,30,$343.09,19.83,$375.07,$292.74,28.12,$385.57
META,Meta Platforms Inc.,1.580,31,$563.30,20.45,$616.77,$519.78,18.66,$788.22
CVNA,Carvana Co.,1.483,7,$65.82,78.85,$74.59,$54.46,36.96,$97.38
MA,Mastercard Inc.,1.419,22,$513.60,20.01,$579.21,$463.74,24.90,$601.23
AAPL,Apple Inc.,1.224,22,$289.36,41.05,$319.97,$225.12,42.13,$344.27
TSM,Taiwan Semiconductor S.A.,0.986,24,$477.55,10.55,$428.91,$235.34,82.25,$479.00
GE,GE Aerospace,0.968,10,$373.73,35.61,$337.12,$268.58,25.52,$388.84
MCO,Moody's Corp.,0.948,17,$452.92,19.14,$493.55,$399.61,23.51,$543.25
JOE,St. Joe Co.,0.932,1,,76.43,$66.11,$45.92,43.97,$73.02
TDG,TransDigm Group Inc.,0.751,6,$1332.04,27.51,$1162.05,$1123.61,3.42,$1463.03
BN,Brookfield Corp.,0.736,9,$42.59,16.29,$40.31,$37.87,6.44,$49.40
SPGI,S&P Global Inc.,0.730,15,$407.26,19.92,$443.51,$360.09,23.17,$521.12
ASML,ASML Holding NV,0.722,9,$1989.38,21.11,$1714.88,$761.21,125.28,$1997.36
NVDA,NVIDIA Corp.,0.720,18,$200.09,9.34,$230.36,$163.85,40.59,$236.26
IBKR,Interactive Brokers Group Inc.,0.706,6,$87.04,33.42,$92.62,$58.70,57.79,$98.66
IEP,Icahn Enterprises,0.658,1,,53.95,$6.82,$5.82,17.18,$7.44
FICO,Fair Isaac Corp.,0.581,8,$1194.78,25.77,$932.26,$870.01,7.16,$1998.01
HCC,Warrior Met Coal Inc.,0.580,3,$81.16,43.32,$104.45,$55.56,87.99,$111.42
LOAR,Loar Holdings Inc,0.575,1,,47.15,$67.85,$53.15,27.66,$83.43
MOH,Molina Healthcare Inc.,0.567,3,$193.75,43.49,$200.80,$121.06,65.87,$244.89
GPI,Group 1 Automotive,0.566,2,$291.17,46.41,$300.76,$249.03,20.77,$485.12
PDD,Pinduoduo Inc.,0.545,4,$76.28,22.17,$82.21,$71.94,14.28,$139.41
UBER,Uber Technologies Inc.,0.521,11,$72.16,12.72,$75.76,$65.41,15.82,$101.99
AMAT,Applied Materials,0.516,12,$723.00,19.48,$454.71,$157.95,187.88,$738.88
C,Citigroup Inc.,0.484,8,$139.96,18.50,$137.72,$91.72,50.15,$147.21
COF,Capital One Financial,0.470,16,$200.62,7.13,$219.60,$173.62,26.48,$256.63
AXP,American Express,0.464,16,$338.24,17.14,$326.16,$289.26,12.76,$384.36
SUNB,Sunbelt Rentals Holdings Inc,0.464,12,$75.05,10.59,$68.59,$60.40,13.56,$85.78
ELV,Elevance Health Inc.,0.457,12,$386.73,9.11,$407.50,$272.05,49.79,$436.24
SNX,SYNNEX Corp.,0.456,4,$267.34,26.38,$262.64,$141.15,86.07,$295.89
CROX,Crocs Inc.,0.443,6,$120.64,27.20,$117.53,$73.21,60.54,$141.28
DIS,Walt Disney Co.,0.432,20,$96.25,9.55,$105.31,$91.48,15.12,$118.07
LULU,Lululemon Athletica Inc.,0.403,4,$176.58,32.35,$100.61,$97.99,2.67,$225.98
CVS,CVS Health Corp.,0.396,10,$103.45,10.63,$96.74,$67.46,43.40,$110.00
EQH,Equitable Holdings Inc.,0.395,5,$43.88,30.38,$52.96,$34.72,52.53,$53.71
SLM,SLM Corp.,0.387,3,$27.27,24.16,$27.08,$17.46,55.10,$31.33
JHG-OLD,Janus Henderson Group,0.385,1,,31.53,$51.98,$37.96,36.93,$53.76
RIG,Transocean Ltd.,0.373,2,$4.89,30.53,$5.85,$3.01,94.35,$7.66
AVGO,Broadcom Inc.,0.368,13,$377.75,10.61,$357.90,$289.50,23.63,$494.22
ICLR,ICON plc,0.358,6,$173.71,11.94,$164.85,$66.57,147.63,$203.91
FERG,Ferguson Enterprises Inc.,0.339,11,$237.33,6.88,$228.41,$203.74,12.11,$268.59
SCHW,Charles Schwab Corp.,0.338,11,$92.27,6.56,$109.29,$83.72,30.54,$114.53
ADI,Analog Devices,0.319,11,$397.17,7.97,$362.25,$220.71,64.13,$444.56
AMR,Alpha Metallurgical Resources Inc.,0.318,1,,26.11,$225.41,$133.64,68.67,$253.82
MKL,Markel Group Inc.,0.309,5,$1953.01,10.89,$1826.72,$1719.41,6.24,$2207.59
UNH,United Health Group Inc.,0.302,17,$415.63,6.05,$397.14,$254.51,56.04,$461.62
TMO,Thermo Fisher Scientific,0.301,11,$501.36,9.81,$613.78,$434.83,41.15,$647.00
KHC,Kraft Heinz Co.,0.299,9,$23.61,12.80,$24.85,$20.34,22.17,$27.65
PYPL,PayPal Holdings Inc.,0.294,8,$43.18,10.61,$54.96,$38.12,44.18,$78.34
RKT,Rocket Companies Inc.,0.290,5,$15.75,11.65,$14.06,$12.17,15.53,$24.36
CVI,CVR Energy Inc.,0.289,1,,23.73,$44.50,$19.50,128.21,$44.65
VFC,V.F. Corp.,0.287,2,$16.68,23.36,$13.45,$12.81,5.00,$22.15
BABA,Alibaba Group Holdings,0.281,9,$95.98,16.92,$113.24,$91.99,23.10,$190.92
CAT,Caterpillar Inc.,0.275,6,$1064.90,19.65,$813.94,$412.72,97.21,$1071.47
CNH,CNH Industrial NV,0.271,5,$11.23,17.11,$14.40,$8.91,61.62,$14.46
WM,Waste Management Inc.,0.267,3,$222.88,17.30,$218.99,$191.77,14.19,$247.15
ORLA-OLD,Orla Mining Ltd,0.264,3,$9.73,21.55,$9.45,$8.43,12.10,$21.95
CP,Canadian Pacific Kansas City,0.261,7,$86.65,7.44,$91.60,$67.98,34.75,$96.90
LYV,Live Nation Inc.,0.257,8,$183.11,7.69,$173.50,$125.34,38.42,$189.25
APP,Applovin Corp.,0.257,4,$515.25,14.50,$320.56,$297.50,7.75,$745.61
ASH,Ashland Global Holdings Inc.,0.256,2,$65.89,17.47,$72.93,$45.04,61.92,$77.80
GM,General Motors,0.255,7,$77.08,11.46,$87.76,$53.87,62.91,$91.66
LEN,Lennar Corp.,0.255,4,$90.49,11.82,$83.58,$79.83,4.70,$141.39
BKNG,Booking Holdings Inc.,0.252,6,$178.24,8.46,$193.29,$149.76,29.07,$224.59
