Symbol,Stock,%▼,"Ownership
count",Hold Price*,Max %,"Current
Price","52 Week
Low","% Above
52 Week
Low","52 Week
High"
AMZN,Amazon.com Inc.,2.990,34,$233.65,38.20,$262.65,$196.00,34.01,$287.20
GOOG,Alphabet Inc. CL C,2.576,34,$351.38,23.39,$343.54,$196.90,74.47,$404.23
BRK.B,Berkshire Hathaway CL B,2.407,26,$499.87,33.89,$504.03,$464.01,8.62,$537.74
GOOGL,Alphabet Inc.,2.083,36,$357.25,24.55,$345.90,$196.04,76.44,$408.37
BRK.A,Berkshire Hathaway CL A,1.758,17,$748851.77,42.42,$755570.01,$698000.00,8.25,$806102.81
MSFT,Microsoft Corp.,1.730,37,$372.62,16.75,$495.40,$349.20,41.87,$550.24
V,Visa Inc.,1.675,30,$342.00,19.83,$364.15,$292.74,24.39,$373.28
META,Meta Platforms Inc.,1.580,31,$563.30,20.45,$589.85,$519.78,13.48,$793.65
CVNA,Carvana Co.,1.483,7,$65.82,78.85,$75.59,$54.46,38.80,$97.38
MA,Mastercard Inc.,1.383,22,$512.82,20.01,$569.29,$463.74,22.76,$598.04
AAPL,Apple Inc.,1.211,22,$287.81,41.05,$305.93,$222.96,37.21,$344.27
MCO,Moody's Corp.,1.020,17,$451.10,19.14,$484.96,$399.61,21.36,$543.25
TSM,Taiwan Semiconductor S.A.,0.986,24,$477.55,10.55,$426.35,$221.29,92.67,$479.00
GE,GE Aerospace,0.968,10,$373.73,35.61,$368.38,$262.47,40.35,$388.84
JOE,St. Joe Co.,0.932,1,,76.43,$68.40,$46.02,48.63,$73.19
BN,Brookfield Corp.,0.736,9,$42.59,16.29,$43.85,$37.87,15.79,$49.40
SPGI,S&P Global Inc.,0.730,15,$407.26,19.92,$418.80,$360.90,16.04,$532.64
TDG,TransDigm Group Inc.,0.727,6,$1257.92,25.54,$1256.90,$1123.61,11.86,$1463.03
ASML,ASML Holding NV,0.722,9,$1989.38,21.11,$1844.08,$711.50,159.18,$1997.36
NVDA,NVIDIA Corp.,0.720,18,$200.09,9.34,$225.16,$163.85,37.42,$236.26
IBKR,Interactive Brokers Group Inc.,0.706,6,$87.04,33.42,$92.06,$58.76,56.67,$97.84
IEP,Icahn Enterprises,0.658,1,,53.95,$7.42,$6.24,18.91,$7.98
FICO,Fair Isaac Corp.,0.581,8,$1194.78,25.77,$1085.78,$870.01,24.80,$1998.01
HCC,Warrior Met Coal Inc.,0.580,3,$81.16,43.32,$98.20,$54.46,80.32,$110.29
LOAR,Loar Holdings Inc,0.575,1,,47.15,$77.41,$53.15,45.64,$83.43
MOH,Molina Healthcare Inc.,0.567,3,$193.75,43.49,$212.43,$121.06,75.47,$244.89
GPI,Group 1 Automotive,0.566,2,$291.17,46.41,$263.95,$259.24,1.82,$486.11
PDD,Pinduoduo Inc.,0.545,4,$76.28,22.17,$84.79,$71.94,17.86,$139.41
UBER,Uber Technologies Inc.,0.521,11,$72.16,12.72,$75.95,$65.41,16.11,$101.99
AMAT,Applied Materials,0.516,12,$723.00,19.48,$507.18,$153.78,229.81,$739.67
COF,Capital One Financial,0.470,16,$200.62,7.13,$227.34,$174.23,30.48,$257.54
C,Citigroup Inc.,0.465,8,$128.18,16.91,$139.33,$88.80,56.90,$147.21
AXP,American Express,0.464,16,$338.24,17.14,$342.48,$289.26,18.40,$384.36
SUNB,Sunbelt Rentals Holdings Inc,0.464,12,$75.05,10.59,$84.80,$60.40,40.40,$85.78
ELV,Elevance Health Inc.,0.458,12,$386.73,9.11,$400.32,$272.05,47.15,$436.24
SNX,SYNNEX Corp.,0.456,4,$267.34,26.38,$258.74,$141.15,83.31,$295.89
DIS,Walt Disney Co.,0.445,20,$96.27,9.55,$106.85,$91.48,16.80,$118.07
CROX,Crocs Inc.,0.443,6,$120.64,27.20,$131.72,$73.21,79.92,$141.28
LULU,Lululemon Athletica Inc.,0.403,4,$176.58,32.35,$119.55,$104.44,14.47,$225.98
CVS,CVS Health Corp.,0.396,10,$103.45,10.63,$97.16,$65.35,48.68,$110.00
EQH,Equitable Holdings Inc.,0.395,5,$43.88,30.38,$53.09,$34.72,52.91,$53.71
SLM,SLM Corp.,0.387,3,$27.27,24.16,$28.03,$17.55,59.72,$32.32
JHG-OLD,Janus Henderson Group,0.385,1,,31.53,$51.98,$37.96,36.93,$53.76
RIG,Transocean Ltd.,0.373,2,$4.89,30.53,$5.76,$2.76,108.70,$7.66
AVGO,Broadcom Inc.,0.368,13,$377.75,10.61,$392.99,$279.82,40.44,$494.22
ICLR,ICON plc,0.341,6,$169.38,11.94,$163.15,$66.57,145.08,$203.91
FERG,Ferguson Enterprises Inc.,0.339,11,$237.33,6.88,$244.94,$204.50,19.78,$269.59
SCHW,Charles Schwab Corp.,0.338,11,$92.27,6.56,$111.09,$83.72,32.69,$111.18
ADI,Analog Devices,0.319,11,$397.17,7.97,$389.39,$221.38,75.89,$445.91
AMR,Alpha Metallurgical Resources Inc.,0.318,1,,26.11,$166.05,$133.64,24.25,$253.82
MKL,Markel Group Inc.,0.309,5,$1953.01,10.89,$1847.24,$1719.41,7.43,$2207.59
UNH,United Health Group Inc.,0.302,17,$415.63,6.05,$401.73,$254.51,57.84,$461.62
