Symbol,Stock,%▼,"Ownership
count",Hold Price*,Max %,"Current
Price","52 Week
Low","% Above
52 Week
Low","52 Week
High"
AMZN,Amazon.com Inc.,2.917,34,$238.34,32.21,$251.62,$196.00,28.38,$287.20
GOOG,Alphabet Inc. CL C,2.582,34,$353.33,23.39,$330.13,$235.96,39.91,$403.96
BRK.B,Berkshire Hathaway CL B,2.416,26,$500.39,33.89,$505.22,$464.01,8.88,$537.74
GOOGL,Alphabet Inc.,2.084,36,$357.37,24.55,$332.50,$235.23,41.35,$408.10
MSFT,Microsoft Corp.,1.779,37,$373.02,20.54,$490.76,$348.54,40.80,$549.20
BRK.A,Berkshire Hathaway CL A,1.758,17,$748851.77,42.42,$758742.00,$698000.00,8.70,$806102.81
V,Visa Inc.,1.713,30,$343.09,19.83,$366.64,$292.74,25.24,$385.57
META,Meta Platforms Inc.,1.580,31,$563.30,20.45,$644.63,$519.78,24.02,$788.22
CVNA,Carvana Co.,1.483,7,$65.82,78.85,$70.41,$54.46,29.29,$97.38
MA,Mastercard Inc.,1.419,22,$513.60,20.01,$564.10,$463.74,21.64,$601.23
AAPL,Apple Inc.,1.224,22,$289.36,41.05,$325.53,$225.12,44.60,$344.27
TSM,Taiwan Semiconductor S.A.,0.986,24,$477.55,10.55,$429.10,$254.98,68.29,$479.00
GE,GE Aerospace,0.968,10,$373.73,35.61,$322.79,$268.58,20.18,$388.84
MCO,Moody's Corp.,0.948,17,$452.92,19.14,$468.06,$399.61,17.13,$543.25
JOE,St. Joe Co.,0.932,1,,76.43,$63.80,$45.92,38.94,$73.02
TDG,TransDigm Group Inc.,0.751,6,$1332.04,27.51,$1125.79,$1123.61,0.19,$1463.03
BN,Brookfield Corp.,0.736,9,$42.59,16.29,$37.91,$37.87,0.11,$49.40
SPGI,S&P Global Inc.,0.730,15,$407.26,19.92,$411.05,$360.09,14.15,$521.12
ASML,ASML Holding NV,0.722,9,$1989.38,21.11,$1697.20,$785.83,115.98,$1997.36
NVDA,NVIDIA Corp.,0.720,18,$200.09,9.34,$218.17,$163.90,33.11,$236.00
IBKR,Interactive Brokers Group Inc.,0.706,6,$87.04,33.42,$89.44,$58.70,52.37,$98.66
IEP,Icahn Enterprises,0.658,1,,53.95,$6.85,$5.82,17.70,$7.44
FICO,Fair Isaac Corp.,0.581,8,$1194.78,25.77,$958.32,$870.01,10.15,$1998.01
HCC,Warrior Met Coal Inc.,0.580,3,$81.16,43.32,$102.61,$57.32,79.01,$111.42
LOAR,Loar Holdings Inc,0.575,1,,47.15,$65.25,$53.15,22.77,$83.43
MOH,Molina Healthcare Inc.,0.567,3,$193.75,43.49,$199.95,$121.06,65.17,$244.89
GPI,Group 1 Automotive,0.566,2,$291.17,46.41,$280.50,$249.03,12.64,$485.12
PDD,Pinduoduo Inc.,0.545,4,$76.28,22.17,$77.77,$71.94,8.10,$139.41
UBER,Uber Technologies Inc.,0.521,11,$72.16,12.72,$72.51,$65.41,10.85,$101.99
AMAT,Applied Materials,0.516,12,$723.00,19.48,$455.85,$161.66,181.98,$738.88
C,Citigroup Inc.,0.484,8,$139.96,18.50,$137.99,$91.72,50.45,$147.21
COF,Capital One Financial,0.470,16,$200.62,7.13,$206.43,$173.62,18.90,$256.63
AXP,American Express,0.464,16,$338.24,17.14,$320.17,$289.26,10.69,$384.36
SUNB,Sunbelt Rentals Holdings Inc,0.464,12,$75.05,10.59,$72.77,$60.40,20.48,$85.78
ELV,Elevance Health Inc.,0.457,12,$386.73,9.11,$419.79,$270.87,54.98,$434.35
SNX,SYNNEX Corp.,0.456,4,$267.34,26.38,$257.23,$141.15,82.24,$295.89
CROX,Crocs Inc.,0.443,6,$120.64,27.20,$108.67,$73.21,48.44,$141.28
DIS,Walt Disney Co.,0.432,20,$96.25,9.55,$104.84,$91.48,14.60,$115.83
LULU,Lululemon Athletica Inc.,0.403,4,$176.58,32.35,$95.93,$95.93,0.00,$225.98
CVS,CVS Health Corp.,0.396,10,$103.45,10.63,$95.26,$68.48,39.11,$110.00
EQH,Equitable Holdings Inc.,0.395,5,$43.88,30.38,$52.32,$34.72,50.69,$53.71
SLM,SLM Corp.,0.387,3,$27.27,24.16,$25.49,$17.46,45.99,$30.52
JHG-OLD,Janus Henderson Group,0.385,1,,31.53,$51.98,$37.96,36.93,$53.76
RIG,Transocean Ltd.,0.373,2,$4.89,30.53,$5.76,$3.03,90.10,$7.66
AVGO,Broadcom Inc.,0.368,13,$377.75,10.61,$361.40,$289.50,24.84,$494.22
ICLR,ICON plc,0.358,6,$173.71,11.94,$164.93,$66.57,147.75,$203.91
FERG,Ferguson Enterprises Inc.,0.339,11,$237.33,6.88,$220.72,$203.74,8.33,$268.59
