Symbol,Stock,%▼,"Ownership
count",Hold Price*,Max %,"Current
Price","52 Week
Low","% Above
52 Week
Low","52 Week
High"
AMZN,Amazon.com Inc.,2.917,34,$238.34,32.21,$258.73,$196.00,32.01,$287.20
GOOG,Alphabet Inc. CL C,2.582,34,$353.33,23.39,$339.78,$224.48,51.36,$404.23
BRK.B,Berkshire Hathaway CL B,2.416,26,$500.39,33.89,$507.71,$464.01,9.42,$537.74
GOOGL,Alphabet Inc.,2.084,36,$357.37,24.55,$343.12,$224.15,53.08,$408.37
MSFT,Microsoft Corp.,1.779,37,$373.02,20.54,$511.64,$348.54,46.80,$549.20
BRK.A,Berkshire Hathaway CL A,1.758,17,$748851.77,42.42,$761489.88,$698000.00,9.10,$806102.81
V,Visa Inc.,1.713,30,$343.09,19.83,$379.15,$292.74,29.52,$385.57
META,Meta Platforms Inc.,1.580,31,$563.30,20.45,$613.31,$519.78,17.99,$788.22
CVNA,Carvana Co.,1.483,7,$65.82,78.85,$73.39,$54.46,34.76,$97.38
MA,Mastercard Inc.,1.419,22,$513.60,20.01,$585.35,$463.74,26.22,$601.23
AAPL,Apple Inc.,1.224,22,$289.36,41.05,$327.54,$225.12,45.50,$344.27
TSM,Taiwan Semiconductor S.A.,0.986,24,$477.55,10.55,$415.80,$226.14,83.87,$479.00
GE,GE Aerospace,0.968,10,$373.73,35.61,$332.61,$268.58,23.84,$388.84
MCO,Moody's Corp.,0.948,17,$452.92,19.14,$503.99,$399.61,26.12,$543.25
JOE,St. Joe Co.,0.932,1,,76.43,$66.11,$45.92,43.97,$73.02
TDG,TransDigm Group Inc.,0.751,6,$1332.04,27.51,$1157.15,$1123.61,2.99,$1463.03
BN,Brookfield Corp.,0.736,9,$42.59,16.29,$40.39,$37.87,6.65,$49.40
SPGI,S&P Global Inc.,0.730,15,$407.26,19.92,$448.98,$360.09,24.69,$521.12
ASML,ASML Holding NV,0.722,9,$1989.38,21.11,$1641.21,$724.77,126.45,$1997.36
NVDA,NVIDIA Corp.,0.720,18,$200.09,9.34,$229.51,$163.85,40.07,$236.26
IBKR,Interactive Brokers Group Inc.,0.706,6,$87.04,33.42,$92.67,$58.70,57.87,$98.66
IEP,Icahn Enterprises,0.658,1,,53.95,$6.94,$5.82,19.24,$7.44
FICO,Fair Isaac Corp.,0.581,8,$1194.78,25.77,$1117.15,$870.01,28.41,$1998.01
HCC,Warrior Met Coal Inc.,0.580,3,$81.16,43.32,$102.27,$54.46,87.79,$111.42
LOAR,Loar Holdings Inc,0.575,1,,47.15,$69.46,$53.15,30.69,$83.43
MOH,Molina Healthcare Inc.,0.567,3,$193.75,43.49,$201.76,$121.06,66.66,$244.89
GPI,Group 1 Automotive,0.566,2,$291.17,46.41,$282.71,$249.03,13.52,$485.12
PDD,Pinduoduo Inc.,0.545,4,$76.28,22.17,$82.05,$71.94,14.05,$139.41
UBER,Uber Technologies Inc.,0.521,11,$72.16,12.72,$75.65,$65.41,15.66,$101.99
AMAT,Applied Materials,0.516,12,$723.00,19.48,$435.19,$153.62,183.29,$738.88
C,Citigroup Inc.,0.484,8,$139.96,18.50,$138.27,$91.47,51.16,$147.21
COF,Capital One Financial,0.470,16,$200.62,7.13,$220.75,$173.62,27.15,$256.63
AXP,American Express,0.464,16,$338.24,17.14,$330.48,$289.26,14.25,$384.36
SUNB,Sunbelt Rentals Holdings Inc,0.464,12,$75.05,10.59,$65.32,$60.40,8.15,$85.78
ELV,Elevance Health Inc.,0.457,12,$386.73,9.11,$413.62,$272.05,52.04,$436.24
SNX,SYNNEX Corp.,0.456,4,$267.34,26.38,$259.91,$141.15,84.14,$295.89
CROX,Crocs Inc.,0.443,6,$120.64,27.20,$117.09,$73.21,59.94,$141.28
