Symbol,Stock,%▼,"Ownership
count",Hold Price*,Max %,"Current
Price","52 Week
Low","% Above
52 Week
Low","52 Week
High"
AMZN,Amazon.com Inc.,2.917,34,$238.34,32.21,$255.50,$196.00,30.36,$287.20
GOOG,Alphabet Inc. CL C,2.582,34,$353.33,23.39,$348.42,$236.07,47.59,$403.96
BRK.B,Berkshire Hathaway CL B,2.416,26,$500.39,33.89,$504.50,$464.01,8.73,$537.74
GOOGL,Alphabet Inc.,2.084,36,$357.37,24.55,$352.68,$235.23,49.93,$408.10
MSFT,Microsoft Corp.,1.779,37,$373.02,20.54,$498.42,$348.54,43.00,$549.20
BRK.A,Berkshire Hathaway CL A,1.758,17,$748851.77,42.42,$756607.50,$698000.00,8.40,$806102.81
V,Visa Inc.,1.713,30,$343.09,19.83,$362.96,$292.74,23.99,$385.57
META,Meta Platforms Inc.,1.580,31,$563.30,20.45,$738.23,$519.37,42.14,$787.60
CVNA,Carvana Co.,1.483,7,$65.82,78.85,$65.98,$54.46,21.15,$97.38
MA,Mastercard Inc.,1.419,22,$513.60,20.01,$558.11,$463.74,20.35,$601.23
AAPL,Apple Inc.,1.224,22,$289.36,41.05,$339.97,$239.33,42.05,$344.27
TSM,Taiwan Semiconductor S.A.,0.986,24,$477.55,10.55,$451.42,$260.11,73.55,$477.72
GE,GE Aerospace,0.968,10,$373.73,35.61,$319.76,$268.58,19.06,$388.84
MCO,Moody's Corp.,0.948,17,$452.92,19.14,$469.49,$399.61,17.49,$543.25
JOE,St. Joe Co.,0.932,1,,76.43,$66.32,$45.92,44.43,$73.02
TDG,TransDigm Group Inc.,0.751,6,$1332.04,27.51,$1107.94,$1071.25,3.42,$1463.03
BN,Brookfield Corp.,0.736,9,$42.59,16.29,$38.09,$36.67,3.87,$49.31
SPGI,S&P Global Inc.,0.730,15,$407.26,19.92,$403.47,$360.09,12.05,$521.12
ASML,ASML Holding NV,0.722,9,$1989.38,21.11,$1743.76,$919.79,89.58,$1997.36
NVDA,NVIDIA Corp.,0.720,18,$200.09,9.34,$229.56,$163.90,40.06,$236.00
IBKR,Interactive Brokers Group Inc.,0.706,6,$87.04,33.42,$91.95,$58.70,56.64,$98.66
IEP,Icahn Enterprises,0.658,1,,53.95,$7.18,$5.82,23.37,$7.44
FICO,Fair Isaac Corp.,0.581,8,$1194.78,25.77,$919.30,$870.01,5.67,$1998.01
HCC,Warrior Met Coal Inc.,0.580,3,$81.16,43.32,$93.55,$60.48,54.68,$111.42
LOAR,Loar Holdings Inc,0.575,1,,47.15,$63.72,$53.15,19.89,$83.43
MOH,Molina Healthcare Inc.,0.567,3,$193.75,43.49,$190.59,$121.06,57.43,$244.89
GPI,Group 1 Automotive,0.566,2,$291.17,46.41,$254.90,$246.21,3.53,$459.35
PDD,Pinduoduo Inc.,0.545,4,$76.28,22.17,$80.15,$71.94,11.41,$139.41
UBER,Uber Technologies Inc.,0.521,11,$72.16,12.72,$69.83,$65.41,6.76,$101.99
AMAT,Applied Materials,0.516,12,$723.00,19.48,$470.49,$187.62,150.77,$738.88
C,Citigroup Inc.,0.484,8,$139.96,18.50,$132.93,$91.72,44.93,$147.21
COF,Capital One Financial,0.470,16,$200.62,7.13,$201.38,$173.62,15.99,$256.63
AXP,American Express,0.464,16,$338.24,17.14,$305.82,$289.26,5.72,$384.36
SUNB,Sunbelt Rentals Holdings Inc,0.464,12,$75.05,10.59,$75.54,$60.16,25.57,$85.44
ELV,Elevance Health Inc.,0.457,12,$386.73,9.11,$403.07,$270.87,48.81,$434.35
SNX,SYNNEX Corp.,0.456,4,$267.34,26.38,$283.46,$141.15,100.82,$295.89
CROX,Crocs Inc.,0.443,6,$120.64,27.20,$124.18,$73.21,69.62,$141.28
DIS,Walt Disney Co.,0.432,20,$96.25,9.55,$103.77,$91.48,13.43,$115.42
LULU,Lululemon Athletica Inc.,0.403,4,$176.58,32.35,$102.79,$95.35,7.80,$225.98
CVS,CVS Health Corp.,0.396,10,$103.45,10.63,$87.18,$68.48,27.31,$110.00
EQH,Equitable Holdings Inc.,0.395,5,$43.88,30.38,$52.53,$34.72,51.30,$55.06
SLM,SLM Corp.,0.387,3,$27.27,24.16,$24.38,$17.46,39.63,$30.52
JHG-OLD,Janus Henderson Group,0.385,1,,31.53,$51.98,$37.96,36.93,$53.76
RIG,Transocean Ltd.,0.373,2,$4.89,30.53,$5.49,$3.03,81.19,$7.66
AVGO,Broadcom Inc.,0.368,13,$377.75,10.61,$365.47,$288.98,26.47,$493.32
ICLR,ICON plc,0.358,6,$173.71,11.94,$168.61,$66.57,153.28,$203.91
FERG,Ferguson Enterprises Inc.,0.339,11,$237.33,6.88,$220.88,$212.82,3.79,$268.59
SCHW,Charles Schwab Corp.,0.338,11,$92.27,6.56,$101.36,$83.72,21.07,$114.53
ADI,Analog Devices,0.319,11,$397.17,7.97,$387.34,$220.71,75.50,$444.56
AMR,Alpha Metallurgical Resources Inc.,0.318,1,,26.11,$188.04,$133.64,40.71,$253.82
MKL,Markel Group Inc.,0.309,5,$1953.01,10.89,$1766.65,$1719.41,2.75,$2207.59
UNH,United Health Group Inc.,0.302,17,$415.63,6.05,$373.84,$252.95,47.79,$458.79
TMO,Thermo Fisher Scientific,0.301,11,$501.36,9.81,$657.73,$434.50,51.38,$663.57
KHC,Kraft Heinz Co.,0.299,9,$23.61,12.80,$24.03,$20.34,18.14,$27.65
PYPL,PayPal Holdings Inc.,0.294,8,$43.18,10.61,$52.88,$38.12,38.72,$78.34
RKT,Rocket Companies Inc.,0.290,5,$15.75,11.65,$12.68,$12.17,4.19,$24.36
CVI,CVR Energy Inc.,0.289,1,,23.73,$52.52,$19.50,169.33,$54.64
VFC,V.F. Corp.,0.287,2,$16.68,23.36,$13.54,$12.46,8.67,$22.00
BABA,Alibaba Group Holdings,0.281,9,$95.98,16.92,$116.82,$91.99,26.99,$190.92
CAT,Caterpillar Inc.,0.275,6,$1064.90,19.65,$807.35,$455.48,77.25,$1071.47
CNH,CNH Industrial NV,0.271,5,$11.23,17.11,$13.68,$8.91,53.54,$14.46
WM,Waste Management Inc.,0.267,3,$222.88,17.30,$207.34,$190.92,8.60,$246.06
ORLA-OLD,Orla Mining Ltd,0.264,3,$9.73,21.55,$9.45,$8.43,12.10,$21.95
CP,Canadian Pacific Kansas City,0.261,7,$86.65,7.44,$88.05,$67.98,29.52,$96.90
LYV,Live Nation Inc.,0.257,8,$183.11,7.69,$169.69,$125.34,35.38,$189.25
APP,Applovin Corp.,0.257,4,$515.25,14.50,$327.37,$297.50,10.04,$745.61
ASH,Ashland Global Holdings Inc.,0.256,2,$65.89,17.47,$69.12,$45.04,53.46,$77.80
GM,General Motors,0.255,7,$77.08,11.46,$83.55,$53.87,55.10,$91.66
LEN,Lennar Corp.,0.255,4,$90.49,11.82,$82.75,$75.70,9.31,$131.68
BKNG,Booking Holdings Inc.,0.252,6,$178.24,8.46,$160.62,$149.40,7.51,$222.95
RPRX,Royalty Pharma plc,0.250,3,$56.07,8.82,$58.61,$33.97,72.53,$64.38
VRT,Vertiv Holdings Co.,0.250,3,$334.82,20.37,$254.32,$133.71,90.20,$379.76
NFLX,Netflix Inc.,0.248,11,$71.40,5.41,$71.83,$65.08,10.37,$124.86
CNI,Canadian Natl Railway Co.,0.247,6,$119.24,17.95,$119.28,$88.62,34.60,$130.84
DHR,Danaher Corp.,0.245,12,$190.48,7.64,$220.68,$160.60,37.41,$241.78
BAC,Bank of America Corp.,0.244,15,$56.98,9.20,$56.42,$45.64,23.62,$64.89
BDX,Becton Dickinson,0.238,7,$151.33,9.93,$183.06,$124.46,47.08,$191.94
QSR,Restaurant Brands International,0.238,3,$72.51,9.62,$71.93,$60.11,19.66,$81.15
GRBK,Green Brick Partners,0.237,2,$80.04,19.39,$68.70,$60.44,13.67,$83.18
CRM,Salesforce.com,0.235,10,$156.66,8.33,$233.16,$146.06,59.63,$267.80
AZN,AstraZeneca PLC,0.233,3,$187.18,19.03,$168.49,$90.90,85.36,$209.12
KKR,KKR & Co. L.P.,0.231,7,$91.78,8.95,$99.57,$82.35,20.91,$151.00
WFC,Wells Fargo,0.225,14,$82.64,3.11,$83.54,$72.36,15.45,$96.18
YETI,YETI Holdings Inc.,0.224,2,$49.56,18.33,$43.50,$31.66,37.40,$53.99
SGOV,Ishares 0 3 Month Treasury B,0.220,4,$100.67,10.59,$100.61,$96.96,3.76,$100.61
CACC,Credit Acceptance Corp.,0.220,2,$636.74,18.01,$560.39,$401.90,39.44,$668.86
RACE,Ferrari NV,0.216,4,$370.77,7.71,$413.31,$308.95,33.78,$498.75
PM,Philip Morris Intl.,0.212,10,$180.91,9.18,$190.93,$138.43,37.93,$207.76
SOLV,Solventum Corp,0.210,4,$77.15,15.02,$89.22,$62.38,43.03,$94.16
WBD,Warner Bros. Discovery Inc.,0.209,5,$26.66,11.68,$30.81,$17.08,80.39,$30.84
LAD,Lithia Motors Inc.,0.207,6,$290.49,13.20,$311.15,$238.86,30.26,$438.67
TXN,Texas Instruments,0.206,14,$298.07,3.93,$270.05,$150.20,79.79,$332.33
OMF,OneMain Holdings,0.200,4,$60.97,10.08,$59.18,$44.20,33.89,$68.16
EGO,Eldorado Gold Corp.,0.197,1,,16.18,$44.64,$24.30,83.70,$50.88
CPNG,Coupang Inc.,0.196,8,$17.37,6.89,$14.64,$14.15,3.46,$33.58
TKO,TKO Group Holdings Inc.,0.196,1,,16.07,$188.01,$173.25,8.52,$224.23
IFF,International Flavors & Fragrances Inc.,0.194,5,$79.22,5.43,$85.86,$57.85,48.42,$88.89
OXY,Occidental Petroleum,0.192,4,$48.57,7.02,$56.63,$38.26,48.01,$66.83
AON,Aon Plc,0.191,10,$331.69,4.91,$286.72,$284.10,0.92,$381.47
FWONK,Liberty Media Corp Formula One Series C,0.191,3,$95.14,7.73,$95.25,$80.15,18.84,$109.36
GXO,Gxo Logistics Inc.,0.189,1,,15.46,$45.54,$44.99,1.22,$66.85
EPD,Enterprise Products Partners LP,0.188,6,$36.76,13.46,$38.08,$28.18,35.13,$39.69
APTV,Aptiv PLC,0.187,2,$61.38,14.51,$44.73,$42.99,4.05,$78.49
AER,AerCap Holdings N.V.,0.185,3,$145.78,7.16,$143.64,$117.73,22.01,$158.38
ALC,Alcon Inc.,0.185,2,$67.33,15.19,$65.53,$61.84,5.97,$87.22
PEP,PepsiCo Inc.,0.184,12,$135.40,5.27,$131.04,$129.55,1.15,$166.41
MU,Micron Technology Inc.,0.184,5,$1154.29,15.06,$1093.31,$154.40,608.10,$1254.81
CMCSA,Comcast Corp.,0.183,14,$24.55,3.15,$22.39,$21.28,5.22,$32.04
LLY,Eli Lilly & Co.,0.183,7,$1199.42,6.89,$1168.96,$707.59,65.20,$1292.65
KO,Coca Cola Co.,0.182,9,$81.27,10.86,$88.82,$63.66,39.52,$91.94
BLK,BlackRock Inc.,0.181,6,$961.57,9.93,$1069.20,$907.59,17.81,$1194.41
DASH,DoorDash Inc.,0.181,4,$184.53,7.46,$192.07,$143.30,34.03,$285.50
PVH,PVH Corp.,0.179,4,$74.26,9.92,$76.47,$59.55,28.41,$100.69
HGV,Hilton Grand Vacations Inc.,0.177,2,$52.37,14.48,$35.28,$35.26,0.06,$55.40
SIRI,SiriusXM Holdings Inc,0.175,5,$29.54,5.59,$26.58,$19.15,38.80,$32.37
ICE,Intercontinental Exchange Inc.,0.174,6,$123.11,4.90,$153.47,$121.39,26.43,$174.25
BAYRY,Bayer Ag Sponsored ADR,0.172,1,,14.12,$13.76,$7.46,84.45,$15.23
ACN,Accenture,0.170,12,$124.44,4.86,$184.36,$116.75,57.91,$285.21
BAX,Baxter International Inc.,0.170,7,$21.32,4.09,$23.63,$15.72,50.32,$29.99
CCL,Carnival Corp.,0.170,2,$28.57,12.78,$22.17,$21.81,1.65,$33.49
TOL,Toll Brothers,0.169,4,$164.75,10.71,$137.79,$122.93,12.09,$167.75
TRMD,Torm Plc,0.169,2,$25.79,13.87,$34.86,$16.70,108.74,$38.73
OKTA,Okta Inc.,0.168,1,,13.80,$196.52,$62.66,213.63,$197.77
TSLA,Tesla Inc.,0.167,6,$420.60,7.44,$379.18,$297.38,27.51,$498.83
DG,Dollar General,0.167,5,$115.11,8.66,$124.02,$93.78,32.25,$156.68
IONS,Ionis Pharmaceuticals Inc.,0.167,1,,13.70,$46.03,$44.27,3.98,$86.74
ROP,Roper Technologies Inc.,0.165,4,$338.39,7.80,$364.30,$305.19,19.37,$517.59
ORCL,Oracle Corp.,0.164,14,$146.55,4.51,$150.14,$114.50,31.13,$325.79
APH,Amphenol Corp.,0.164,7,$88.16,8.29,$83.08,$58.92,41.00,$89.26
SPOT,Spotify Technology S.A.,0.163,7,$459.13,4.96,$500.68,$405.00,23.62,$740.20
KEX,Kirby Corp.,0.161,1,,13.22,$133.48,$79.52,67.86,$157.69
PG,Procter & Gamble,0.160,9,$146.64,4.38,$147.98,$134.62,9.92,$164.77
GIL,Gildan Activewear Inc.,0.160,1,,13.10,$47.18,$45.52,3.65,$72.73
AJG,Arthur J. Gallagher & Co.,0.159,6,$229.57,6.43,$230.73,$189.61,21.69,$309.90
XRAY,DENTSPLY SIRONA Inc.,0.159,3,$10.61,12.18,$10.01,$9.36,6.94,$14.76
PFE,Pfizer Inc.,0.158,10,$24.08,3.07,$27.91,$22.03,26.69,$29.21
USB,U.S. Bancorp,0.157,6,$60.41,5.56,$59.41,$43.76,35.76,$66.08
